Time,Clusters,BTC,USD,Netflow_Bytes,Port,label
49,1,12,1142,428,5068,0
46,1,12,84440,431,5068,0
46,1,12,1140,434,5068,0
52,1,12,1144,437,5068,0
49,1,12,84442,440,5068,0
49,1,12,1142,443,5068,0
55,1,12,1146,446,5068,0
52,1,12,84444,449,5068,0
52,1,12,1144,452,5068,0
58,1,12,1148,455,5068,0
55,1,12,84446,458,5068,0
55,1,12,1146,461,5068,0
61,1,12,1150,464,5068,0
58,1,12,84448,467,5068,0
58,1,12,1148,470,5068,0
4,1,12,1152,473,5068,0
6,1,12,1150,476,5068,0
8,1,12,1154,479,5068,0
10,1,12,1152,482,5068,0
12,1,12,1156,485,5068,0
14,1,12,1154,488,5068,0
16,1,12,1158,491,5068,0
18,1,12,1156,494,5068,0
20,1,12,1160,497,5068,0
22,1,12,1158,500,5068,0
24,1,12,1162,503,5068,0
26,1,12,1160,506,5068,0
28,1,12,1164,509,5068,0
30,1,12,1162,512,5068,0
32,1,12,1166,515,5068,0
34,1,12,1164,518,5068,0
36,1,12,1168,521,5068,0
38,1,12,1166,524,5068,0
40,1,12,1170,527,5068,0
42,1,12,1168,530,5068,0
44,1,12,1172,533,5068,0
46,1,12,1170,536,5068,0
48,1,12,1174,539,5068,0
50,1,12,1172,542,5068,0
52,1,12,1176,545,5068,0
54,1,12,1174,548,5068,0
56,1,12,1178,551,5068,0
58,1,12,1176,554,5068,0
2,1,12,1180,557,5068,0
4,1,12,1178,560,5068,0
6,1,12,1182,563,5068,0
8,1,12,1180,566,5068,0
10,1,12,1184,569,5068,0
12,1,12,1182,572,5068,0
14,1,12,1186,575,5068,0
16,1,12,1184,578,5068,0
18,1,12,1188,581,5068,0
20,1,12,1186,584,5068,0
22,1,12,1190,587,5068,0
24,1,12,1188,590,5068,0
26,1,12,1192,593,5068,0
28,1,12,1190,596,5068,0
30,1,12,1194,599,5068,0
32,1,12,1192,602,5068,0
34,1,12,1196,605,5068,0
36,1,12,1194,608,5068,0
38,1,12,1198,611,5068,0
40,1,12,1196,614,5068,0
42,1,12,1200,617,5068,0
44,1,12,1198,620,5068,0
46,1,12,1202,623,5068,0
48,1,12,1200,626,5068,0
50,1,12,1204,629,5068,0
52,1,12,1202,632,5068,0
54,1,12,1206,635,5068,0
56,1,12,1204,638,5068,0
58,1,12,1208,641,5068,0
9,1,12,1206,644,5068,0
11,1,12,1210,647,5068,0
13,1,12,1208,650,5068,0
15,1,12,1212,653,5068,0
17,1,12,1210,656,5068,0
19,1,12,1214,659,5068,0
21,1,12,1212,662,5068,0
23,1,3,1216,665,5068,0
25,1,3,1214,668,5068,0
27,1,3,1218,671,5068,0
29,1,3,1216,674,5068,0
31,1,3,1220,677,5068,0
33,1,3,1218,680,5068,0
35,1,3,1222,683,5068,0
37,1,3,1220,686,5068,0
39,1,3,1224,689,5068,0
41,1,3,1222,692,5068,0
43,1,3,1226,695,5068,0
45,1,3,1224,698,5068,0
47,1,3,1228,701,5068,0
49,1,3,1226,704,5068,0
51,1,3,1230,707,5068,0
53,1,3,1228,710,5068,0
55,1,3,1232,713,5068,0
57,1,3,1230,716,5068,0
59,1,3,1234,719,5068,0
6,1,3,1232,722,5068,0
8,1,3,1236,725,5068,0
10,1,3,1234,728,5068,0
12,1,3,1238,731,5068,0
14,1,3,1236,734,5068,0
16,1,3,1240,737,5068,0
18,1,3,1238,740,5068,0
20,1,3,1242,743,5068,0
22,1,3,1240,746,5068,0
24,1,3,1244,749,5068,0
26,1,3,1242,752,5068,0
28,1,3,1246,755,5068,0
30,1,3,1244,758,5068,0
32,1,3,1248,761,5068,0
34,1,3,1246,764,5068,0
36,1,3,1250,767,5068,0
38,1,3,1248,770,5068,0
40,1,3,1252,773,5068,0
42,1,3,1250,776,5068,0
44,1,3,1254,779,5068,0
46,1,3,1252,782,5068,0
48,1,3,1256,785,5068,0
50,1,3,1254,788,5068,0
0,1,3,1258,791,5068,0
2,1,3,1256,794,5068,0
4,1,3,1260,797,5068,0
6,1,3,1258,800,5068,0
8,1,3,1262,803,5068,0
10,1,3,1260,806,5068,0
12,1,3,1264,809,5068,0
14,1,3,1262,812,5068,0
16,1,3,1266,815,5068,0
18,1,3,1264,818,5068,0
20,1,3,1268,821,5068,0
22,1,3,1266,824,5068,0
24,1,3,1270,827,5068,0
26,1,3,1268,830,5068,0
28,1,3,1272,833,5068,0
30,1,3,1270,836,5068,0
32,1,3,1274,839,5068,0
34,1,3,1272,842,5068,0
36,1,3,1276,845,5068,0
38,1,3,1274,848,5068,0
40,1,3,1278,851,5068,0
42,1,3,1276,854,5068,0
44,1,3,1280,857,5068,0
46,1,3,1278,860,5068,0
48,1,3,1282,863,5068,0
50,1,3,1280,866,5068,0
52,1,3,1284,869,5068,0
54,1,3,1282,872,5068,0
56,1,3,1286,875,5068,0
58,1,3,1284,878,5068,0
0,1,3,1288,881,5068,0
2,1,3,1286,884,5068,0
4,1,3,1290,887,5068,0
6,1,3,1288,890,5068,0
8,1,3,1292,893,5068,0
10,1,3,1290,896,5068,0
12,1,3,1294,899,5068,0
14,1,3,1292,902,5068,0
16,1,3,1296,905,5068,0
18,1,3,1294,908,5068,0
20,1,3,1298,911,5068,0
22,1,3,1296,914,5068,0
24,1,3,1300,917,5068,0
26,1,3,1298,920,5068,0
28,1,3,1302,923,5068,0
30,1,3,1300,926,5068,0
32,1,3,1304,929,5068,0
34,1,3,1302,932,5068,0
36,1,3,1306,935,5068,0
38,1,3,1304,938,5068,0
40,1,3,1308,941,5068,0
42,1,3,1306,944,5068,0
44,1,3,1310,947,5068,0
46,1,3,1308,950,5068,0
48,1,3,1312,953,5068,0
50,1,3,1310,956,5068,0
52,1,3,1314,959,5068,0
54,1,3,1312,962,5068,0
56,1,3,1316,965,5068,0
58,1,3,1314,968,5068,0
1,1,3,1318,971,5068,0
3,1,3,1316,974,5068,0
5,1,3,1320,977,5068,0
7,1,3,1318,980,5068,0
9,1,3,1322,983,5068,0
11,1,3,1320,986,5068,0
13,1,3,1324,989,5066,0
15,1,3,1322,992,5066,0
17,1,3,1326,995,5066,0
19,1,3,1324,998,5066,0
21,1,3,1328,1001,5066,0
23,1,3,1326,1004,5066,0
25,1,3,1330,1007,5066,0
27,1,3,1328,1010,5066,0
29,1,3,1332,1013,5066,0
31,1,3,1330,1016,5066,0
33,1,3,1334,1019,5066,0
35,1,3,1332,1022,5066,0
37,1,3,1336,1025,5066,0
39,1,3,1334,1028,5066,0
41,1,3,1338,1031,5066,0
43,1,3,1336,1034,5066,0
45,1,3,1340,1037,5066,0
47,1,3,1338,1040,5066,0
49,1,3,1342,1043,5066,0
51,1,3,1340,1046,5066,0
53,1,3,1344,1049,5066,0
55,1,3,1342,1052,5066,0
57,1,3,1346,1055,5066,0
7,1,3,1344,1058,5066,0
9,1,3,1348,1061,5066,0
11,1,3,1346,1064,5066,0
13,1,3,1350,1067,5066,0
15,1,3,1348,1070,5066,0
17,1,3,1352,1073,5066,0
19,1,3,1350,1076,5066,0
21,1,2,1354,1079,5066,0
23,1,2,1352,1082,5066,0
25,1,2,1356,1085,5066,0
27,1,2,1354,1088,5066,0
29,1,2,1358,1091,5066,0
31,1,2,1356,1094,5066,0
33,1,2,1360,1097,5066,0
35,1,2,1358,1100,5066,0
37,1,2,1362,1103,5066,0
39,1,2,1360,1106,5066,0
41,1,2,1364,1109,5066,0
43,1,2,1362,1112,5066,0
45,1,2,1366,1115,5066,0
47,1,2,1364,1118,5066,0
49,1,2,1368,1121,5066,0
51,1,2,1366,1124,5066,0
53,1,2,1370,1127,5066,0
55,1,2,1368,1130,5066,0
57,1,2,1372,1133,5066,0
0,1,2,1370,1136,5066,0
2,1,2,1374,1139,5066,0
4,1,2,1372,1142,5066,0
6,1,2,1376,1145,5066,0
8,1,2,1374,1148,5066,0
10,1,2,1378,1151,5066,0
12,1,2,1376,1154,5066,0
14,1,2,1380,1157,5066,0
16,1,2,1378,1160,5066,0
18,1,2,1382,1163,5066,0
20,1,2,1380,1166,5066,0
22,1,2,1384,1169,5066,0
24,1,2,1382,1172,5066,0
26,1,2,1386,1175,5066,0
28,1,2,1384,1178,5066,0
30,1,2,1388,1181,5066,0
32,1,2,1386,1184,5066,0
34,1,2,1390,1187,5066,0
36,1,2,1388,1190,5066,0
38,1,2,1392,1193,5066,0
40,1,2,1390,1196,5066,0
42,1,2,1394,1199,5066,0
44,1,2,1392,1202,5066,0
46,1,2,1396,1205,5066,0
48,1,2,1394,1208,5066,0
8,1,2,1398,1211,5066,0
10,1,2,1396,1214,5066,0
12,1,2,1400,1217,5066,0
14,1,2,1398,1220,5066,0
16,1,2,1402,1223,5066,0
18,1,2,1400,1226,5066,0
20,1,2,1404,1229,5066,0
22,1,2,1402,1232,5066,0
24,1,2,1406,1235,5066,0
26,1,2,1404,1238,5066,0
28,1,2,1408,1241,5066,0
30,1,2,1406,1244,5066,0
32,1,2,1410,1247,5066,0
34,1,2,1408,1250,5066,0
36,1,2,1412,1253,5066,0
38,1,2,1410,1256,5066,0
40,1,2,1414,1259,5066,0
42,1,2,1412,1250,5066,0
44,1,2,1416,1253,5066,0
46,1,2,1414,1244,5066,0
48,1,2,1418,1247,5066,0
50,1,2,1416,1238,5066,0
52,1,2,1420,1241,5066,0
54,1,2,1418,1232,5066,0
56,1,2,1422,1235,5066,0
58,1,2,1420,1226,5066,0
54,1,2,1424,1229,5066,0
56,1,2,1422,1220,5066,0
58,1,2,1426,1223,5066,0
57,1,2,1424,1214,5066,0
0,1,2,1428,1217,5066,0
40,1,2,1426,1208,5066,0
50,1,2,1430,1211,5066,0
52,1,2,1428,1202,5066,0
54,1,2,1432,1205,5066,0
56,1,2,1430,1196,5066,0
58,1,2,1434,1199,5066,0
1,1,2,1432,1190,5066,0
1,1,2,1436,1193,5066,0
1,1,2,1434,1184,5066,0
1,1,2,1438,1187,5066,0
1,1,2,1436,1178,5066,0
1,1,2,1440,1181,5066,0
1,1,2,1438,1172,5066,0
50,1,2,1442,1175,5066,0
52,1,2,1440,1166,5066,0
58,1,2,1444,1169,5066,0
50,1,2,1442,1160,5066,0
42,1,2,1446,1163,5066,0
34,1,2,1444,1154,5066,0
26,1,2,1448,1157,5066,0
18,1,2,1446,1148,5066,0
10,1,2,1450,1151,5066,0
2,1,2,1448,1142,5066,0
1,1,2,1452,1145,5066,0
6,1,2,1450,1136,5066,0
5,1,2,1454,1139,5066,0
2,1,2,1452,1130,5066,0
1,1,2,1456,1133,5066,0
9,1,2,1454,1124,5066,0
1,1,2,1458,1127,5066,0
8,1,2,1456,1118,5066,0
1,1,2,1460,1121,5066,0
7,1,2,1458,1112,5066,0
5,1,2,1462,1115,5066,0
3,1,2,1460,1106,5066,0
8,1,2,1464,1109,5066,0
1,1,2,1462,1100,5066,0
6,1,2,1466,1103,5066,0
3,1,2,1464,1094,5066,0
3,1,2,1468,1097,5066,0
6,1,2,1466,1088,5066,0
9,1,2,1470,1091,5066,0
12,1,2,1468,1082,5066,0
15,1,2,1472,1085,5066,0
18,1,2,1470,1076,5066,0
21,1,2,1474,1079,5066,0
24,1,2,1472,1070,5066,0
27,1,2,1476,1073,5066,0
30,1,2,1474,1064,5066,0
33,1,2,1478,1067,5066,0
36,1,2,1476,1058,5066,0
39,1,2,1480,1061,5066,0
42,1,2,1478,1052,5066,0
45,1,2,1482,1055,5066,0
48,1,2,1480,1046,5066,0
51,1,2,1484,1049,5066,0
54,1,2,1482,1040,5066,0
1,1,2,1486,1043,5066,0
4,1,2,1484,1034,5066,0
7,1,2,1488,1037,5066,0
10,1,2,1486,1028,5066,0
13,1,2,1490,1031,5066,0
16,1,2,1488,1022,5066,0
19,1,2,1492,1025,5066,0
22,1,2,1490,1016,5066,0
25,1,2,1494,1019,5066,0
28,1,2,1492,1010,5066,0
31,1,2,1496,1013,5066,0
34,1,2,1494,1004,5066,0
37,1,2,1498,1007,5066,0
40,1,2,1496,998,5066,0
43,1,2,1500,1001,5066,0
46,1,2,1498,992,5066,0
49,1,2,1502,995,5066,0
52,1,2,1500,986,5066,0
4,1,2,1504,989,5066,0
6,1,2,1502,980,5066,0
8,1,2,1506,983,5066,0
10,1,2,1504,974,5066,0
12,1,2,1508,977,5066,0
14,1,2,1506,968,5066,0
16,1,2,1510,971,5066,0
18,1,2,1508,962,5066,0
20,1,2,1512,965,5066,0
22,1,2,1510,956,5066,0
24,1,2,1514,959,5066,0
26,1,2,1512,950,5066,0
28,1,2,1516,953,5066,0
30,1,2,1514,944,5066,0
32,1,2,1518,947,5066,0
34,1,2,1516,938,5066,0
36,1,2,1520,941,5066,0
38,1,2,1518,932,5066,0
40,1,2,1522,935,5066,0
42,1,2,1520,926,5066,0
44,1,2,1524,929,5066,0
46,1,2,1522,920,5066,0
48,1,2,1526,923,5066,0
50,1,2,1524,914,5066,0
52,1,2,1528,917,5066,0
54,1,2,1526,908,5066,0
56,1,2,1530,911,5066,0
58,1,2,1528,902,5066,0
5,1,2,1532,905,5066,0
7,1,2,1530,896,5066,0
9,1,2,1534,899,5066,0
11,1,2,1532,890,5066,0
13,1,2,1536,893,5066,0
15,1,2,1534,884,5066,0
17,1,2,1538,887,5066,0
19,1,2,1536,878,5066,0
21,1,2,1540,881,5066,0
23,1,2,1538,872,5066,0
25,1,2,1542,875,5066,0
27,1,2,1540,866,5066,0
29,1,2,1544,869,5066,0
31,1,2,1542,860,5066,0
33,1,2,1546,863,5066,0
35,1,2,1544,854,5066,0
37,1,2,1548,857,5066,0
39,1,2,1546,848,5066,0
41,1,2,1550,851,5066,0
43,1,2,1548,842,5066,0
45,1,2,1552,845,5066,0
47,1,2,1550,836,5066,0
49,1,2,1554,839,5066,0
51,1,2,1552,830,5066,0
53,1,2,1556,833,5066,0
55,1,2,1554,824,5066,0
57,1,2,1558,827,5066,0
1,1,2,1556,818,5066,0
5,1,2,1560,821,5066,0
9,1,2,1558,812,5066,0
13,1,2,1562,815,5066,0
17,1,2,1560,806,5066,0
21,1,2,1564,809,5066,0
25,1,2,1562,800,5066,0
29,1,2,1566,803,5066,0
33,1,2,1564,794,5066,0
37,1,2,1568,797,5066,0
41,1,2,1,444,5062,0
45,1,2,1,465,5062,0
49,1,2,1,486,5062,0
53,1,2,1,507,5062,0
57,1,2,1,528,5062,0
0,1,2,1,549,5062,0
4,1,2,1,570,5062,0
8,1,2,1,591,5062,0
12,1,2,1,612,5062,0
16,1,2,1,633,5062,0
20,1,2,1,654,5062,0
24,1,2,1,675,5062,0
28,1,2,1,696,5062,0
32,1,2,1,717,5062,0
36,1,2,1,738,5062,0
40,1,2,1,759,5062,0
1,1,2,1,780,5062,0
8,1,2,1,801,5062,0
0,1,2,1,822,5062,0
1,1,2,1,843,5062,0
1,1,2,1,864,5062,0
7,1,2,1,885,5062,0
7,1,2,1,906,5062,0
13,1,2,1,927,5062,0
13,1,2,1,948,5062,0
19,1,2,1,969,5062,0
19,1,2,1,990,5062,0
25,1,2,1,1011,5062,0
25,1,2,1,1032,5062,0
31,1,2,1,1053,5062,0
31,1,2,1,1074,5062,0
37,1,2,1,1095,5062,0
37,1,2,1,1116,5062,0
43,1,2,1,1137,5062,0
43,1,2,1,1158,5062,0
49,1,2,1,1179,5062,0
49,1,2,1,1200,5062,0
55,1,2,1,1221,5062,0
50,1,2,1,1242,5062,0
45,1,2,1,1263,5062,0
40,1,2,1,1284,5062,0
35,1,2,1,1305,5062,0
30,1,2,1,1326,5062,0
25,1,2,1,1347,5062,0
20,1,2,1,1368,5062,0
15,1,2,1,1389,5062,0
10,1,2,1,1410,5062,0
5,1,2,1,1431,5068,0
0,1,2,1,1452,5068,0
7,1,2,1,1473,5068,0
2,1,2,1,1494,5068,0
0,1,2,1,1515,5068,0
4,1,2,1,1536,5068,0
1,1,2,1,1557,5068,0
6,1,2,1,1578,5068,0
1,1,2,1,1599,5068,0
5,1,2,1,1620,5068,0
3,1,2,1,1641,5068,0
1,1,2,1,1662,5068,0
2,1,2,1,1683,5068,0
1,1,2,1,1704,5068,0
4,1,2,1,1725,5068,0
5,1,2,1,1746,5068,0
4,1,2,1,1767,5068,0
7,1,2,1,1788,5068,0
8,1,2,1,1809,5068,0
7,1,2,1,1830,5068,0
10,1,2,1,1851,5066,0
11,1,2,1,1872,5066,0
10,1,2,1,1893,5066,0
13,1,2,1,1914,5066,0
14,1,2,1,1935,5066,0
13,1,2,1,1956,5066,0
16,1,2,1,1977,5066,0
17,1,2,1,1998,5066,0
16,1,2,1,2019,5066,0
19,1,2,1,2040,5066,0
20,1,2,1,2061,5066,0
19,1,2,1,2082,5066,0
22,1,2,1,2103,5066,0
23,1,2,1,2124,5066,0
22,1,2,1,2145,5066,0
25,1,6,1,2166,5066,0
26,1,6,1,2187,5066,0
25,1,6,1,2208,5066,0
28,1,6,1,2229,5066,0
29,1,6,1,2250,5066,0
28,1,6,1,2271,5066,0
31,1,6,1,2292,5066,0
32,1,6,1,2313,5066,0
31,1,6,1,2334,5066,0
34,1,6,1,2355,5066,0
35,1,6,1,2376,5066,0
34,1,6,1,2397,5066,0
37,1,6,1,2418,5066,0
38,1,6,1,2439,5066,0
37,1,6,1,2460,5066,0
40,1,6,1,2481,5066,0
41,1,6,1,2502,5066,0
40,1,6,1,2523,5066,0
43,1,6,1,2544,5066,0
44,1,6,1,2565,5066,0
43,1,6,1,2586,5066,0
46,1,6,1,2607,5066,0
47,1,6,1,2628,5066,0
46,1,6,1,2649,5066,0
49,1,6,1,2670,5066,0
50,1,6,1,2691,5066,0
49,1,6,1,2712,5066,0
52,1,6,1,2733,5066,0
53,1,6,1,2754,5066,0
52,1,6,1,2775,5066,0
55,1,6,1,2796,5066,0
56,1,6,1,2817,5066,0
55,1,6,1,2838,5066,0
58,1,6,1,2859,5066,0
1,1,6,1,2880,5066,0
58,1,6,1,2901,5066,0
1,1,6,1,2922,5066,0
6,1,6,1,2943,5066,0
4,1,6,1,2964,5066,0
9,1,6,1,2985,5066,0
7,1,6,1,3006,5066,0
12,1,6,1,3027,5066,0
10,1,6,1,3048,5066,0
15,1,6,1,3069,5066,0
13,1,6,1,3090,5066,0
18,1,6,1,3111,5066,0
16,1,6,1,3132,5066,0
21,1,6,1,3153,5066,0
19,1,6,1,3174,5066,0
24,1,6,1,3195,5066,0
22,1,6,1,3216,5066,0
27,1,6,1,3237,5066,0
25,1,6,1,3258,5066,0
30,1,6,1,3279,5066,0
28,1,7,1,3300,5066,0
33,1,7,1,3321,5066,0
31,1,7,1,3342,5066,0
36,1,7,1,3363,5066,0
34,1,7,1,3384,5066,0
39,1,7,1,3405,5066,0
37,1,7,1,3426,5066,0
42,1,7,1,3447,5066,0
40,1,7,1,3468,5066,0
45,1,7,1,3489,5066,0
43,1,7,1,3510,5066,0
48,1,7,1,3531,5066,0
46,1,7,1,3552,5066,0
51,1,7,1,3573,5066,0
49,1,7,1,3594,5066,0
54,1,7,1,3615,5066,0
52,1,7,1,3636,5066,0
57,1,7,1,3657,5066,0
55,1,7,1,3678,5066,0
60,1,7,1,3699,5066,0
58,1,7,1,3720,5066,0
0,1,7,1,3741,5066,0
59,1,7,1,3762,5066,0
50,1,7,1,3783,5066,0
